Comment,Designator,Footprint,LCSC Part Number
G-Switch GT-HD001A-FNNG0 ,"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12",SMD ,C22750565 
USB_C_Receptacle_G-Switch_GT-USB-7010ASV,"J13,J14,J15,J16,J17,J18",SMD ,C2988369
